President_ID,Name,Term_Number,Party,Year_Elected,Start,End
45,Donald Trump,1,Republican,2016,2017,2021
44,Barack Obama,2,Democratic,2012,2013,2017
44,Barack Obama,1,Democratic,2008,2009,2013
43,George W. Bush,2,Republican,2004,2005,2009
43,George W. Bush,1,Republican,2000,2001,2005
42,Bill Clinton,2,Democratic,1996,1997,2001
42,Bill Clinton,1,Democratic,1992,1993,1997
41,George H. Bush,1,Republican,1988,1989,1993
40,Ronald Reagan,2,Republican,1984,1985,1989
40,Ronald Reagan,1,Republican,1980,1981,1985
39,Jimmy Carter,1,Democratic,1976,1977,1981
38,Gerald Ford,1,Republican,1974,1974,1977
37,Richard Nixon,2,Republican,1972,1973,1974
37,Richard Nixon,1,Republican,1968,1969,1973
36,Lyndon B. Johnson,2,Democratic,1964,1965,1969
36,Lyndon B. Johnson,1,Democratic,1963,1963,1965
35,John F. Kennedy,1,Democratic,1960,1961,1963
34,Dwight D. Eisenhower,2,Republican,1956,1957,1961
34,Dwight D. Eisenhower,1,Republican,1952,1953,1957